date,lat,lng,kill,wolf,detail
07/07/2016,48.69503,-118.29115,Y,Y,"1 calf, 5-6 months, 200-250 lbs"
07/11/2016,48.69706,-118.30167,Y,?,"1 calf, 5-6 months, 175-225 lbs"
07/11/2016,48.70018,-118.31364,Y,?,"1 calf, 5-6 months, 175-225 lbs"
07/14/2016,48.77178,-118.36634,Y,Y,1 adult
07/21/2016,48.73205,-118.4195,Y,?,1 calf
07/23/2016,48.74151,-118.53429,Y,Y,"1 calf, 5-6 months, 175-225 lbs"
08/03/2016,48.69431,-118.51877,Y,Y,"1 calf, 200-240 lbs"
08/03/2016,48.70945,-118.53835,Y,Y,1 calf
08/18/2016,48.70697,-118.30682,Y,?,1 calf
08/18/2016,48.70518,-118.29373,Y,?,1 calf
08/19/2016,48.70512,-118.29384,N,Y,"1 calf, 6 months"
08/19/2016,48.69909,-118.28329,N,Y,"1 calf, 6 months"
08/31/2016,48.65673,-118.30047,Y,Y,1 calf
09/27/2016,48.75088,-118.54309,N,Y,"1 calf, 475 lbs"
10/03/2016,48.682505,-118.238712,N,Y,1 calf
